anime,count,appearances
we never learn,1,ken
weathering with you,1,ken
when supernatural battles became commonplace,1,ken
white blue,1,ken
"why the hell are you here, teacher!?",1,ken
witch craft works,1,ken
world break: aria of curse for a holy swordsman,1,ken
worldend: what are you doing at the end of the world? are you busy? will you save us?,1,ken
wotakoi: love is hard for otaku,1,ken
wotaku ni koi wa muzukashii,1,ken
yabai! fukushuu yami site,1,ken
"yahari ore no seishun love come wa machigatteiru. kan: dakara, shishunki wa owarazu ni, seishun wa tsuzuiteiku.",1,ken
yona of the dawn,1,ken
yosuga no sora: in solitude where we are least alone,1,ken
your name.,1,ken
yuragi-sou no yuuna-san,1,ken
yuuna and the haunted hot springs,1,ken
yuutousei ayaka no uraomote,1,ken
baki,1,red
corpse party,1,red
dragon ball z,1,red
medaka box,1,red
record of ragnarok,1,red
tengen toppa gurren lagann,1,red
the seven deadly sins,1,red
touhou project,1,red
